;Punto GPS;Arvenses;ID;Latitude;Longitude;y_proj;x_proj;Fecha
0;225;Commelina diffusa Burm.f.;2;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
1;225;Eleusine indica (L.) Gaertn.;7;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
2;225;Euphorbia heterophylla L.;9;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
3;225;Melampodium divaricatum (Rich.) DC.;13;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
4;225;Ixophorus unisetus (J.Presl) Schltdl.;11;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
5;225;Euphorbia hirta L.;10;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
6;225;Cyperus esculentus L.;4;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
7;225;Emilia fosbergii Nicolson;8;10.003421;-84.268023;10.003421;-84.268023;28/5/2024 17:07
8;226;Commelina diffusa Burm.f.;2;10.003376;-84.268183;10.003376;-84.268183;28/5/2024 17:16
9;226;Euphorbia heterophylla L.;9;10.003376;-84.268183;10.003376;-84.268183;28/5/2024 17:16
10;226;Melampodium divaricatum (Rich.) DC.;13;10.003376;-84.268183;10.003376;-84.268183;28/5/2024 17:16
11;226;Cyperus esculentus L.;4;10.003376;-84.268183;10.003376;-84.268183;28/5/2024 17:16
12;233;Euphorbia heterophylla L.;9;10.003353;-84.268317;10.003353;-84.268317;28/5/2024 17:18
13;233;Commelina diffusa Burm.f.;2;10.003353;-84.268317;10.003353;-84.268317;28/5/2024 17:18
14;233;Kyllinga sp.;12;10.003353;-84.268317;10.003353;-84.268317;28/5/2024 17:18
15;233;Eleusine indica (L.) Gaertn.;7;10.003353;-84.268317;10.003353;-84.268317;28/5/2024 17:18
16;234;Melampodium divaricatum (Rich.) DC.;13;10.003321;-84.268473;10.003321;-84.268473;28/5/2024 17:21
17;234;Commelina diffusa Burm.f.;2;10.003321;-84.268473;10.003321;-84.268473;28/5/2024 17:21
18;234;Euphorbia heterophylla L.;9;10.003321;-84.268473;10.003321;-84.268473;28/5/2024 17:21
19;234;Portulaca oleraceae L. ;15;10.003321;-84.268473;10.003321;-84.268473;28/5/2024 17:21
20;234;Kyllinga sp.;12;10.003321;-84.268473;10.003321;-84.268473;28/5/2024 17:21
